captured_at,value_date,broker,pair,side,swap_points,days,unit,source_url,raw_value,normalized_swap_per_10k,normalized_swap_per_10k_per_day,error
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,EURJPY,sell,-75.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=EURJPY,-75,-75.0,-75.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,EURJPY,buy,75.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=EURJPY,75,75.0,75.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,GBPJPY,sell,-168.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=GBPJPY,-168,-168.0,-168.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,GBPJPY,buy,168.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=GBPJPY,168,168.0,168.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,AUDJPY,sell,-113.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=AUDJPY,-113,-113.0,-113.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,AUDJPY,buy,113.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=AUDJPY,113,113.0,113.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,NZDJPY,sell,-47.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=NZDJPY,-47,-47.0,-47.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,NZDJPY,buy,47.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=NZDJPY,47,47.0,47.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,TRYJPY,sell,-25.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=TRYJPY,-25,-25.0,-25.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,TRYJPY,buy,25.0,1,10000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=TRYJPY,25,25.0,25.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,MXNJPY,sell,-140.0,1,100000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=MXNJPY,-140,-14.0,-14.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,MXNJPY,buy,140.0,1,100000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=MXNJPY,140,14.0,14.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,ZARJPY,sell,-130.0,1,100000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=ZARJPY,-130,-13.0,-13.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,ZARJPY,buy,130.0,1,100000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=ZARJPY,130,13.0,13.0,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,HUFJPY,sell,-12.0,1,100000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=HUFJPY,-12,-1.2,-1.2,
2026-08-31T00:17:50+00:00,2026-08-31,GMOクリック証券 FXネオ,HUFJPY,buy,12.0,1,100000,https://www.click-sec.com/corp/guide/fxneo/swplog/?year=2026&month=08&pare=HUFJPY,12,1.2,1.2,
